,,PTB-XL,PTB-XL,PTB-XL,PTB-XL,PTB-XL,PTB-XL,ARR10000,ARR10000,ARR10000,ARR10000,ARR10000,ARR10000,CPSC2018,CPSC2018,CPSC2018,CPSC2018,CPSC2018,CPSC2018
,,AUC,AUC,AUC,F1,F1,F1,AUC,AUC,AUC,F1,F1,F1,AUC,AUC,AUC,F1,F1,F1
,,test,val,train,test,val,train,test,val,train,test,val,train,test,val,train,test,val,train
CNN,windows2.5s,0.4969,0.4857,0.4894,0.3194,0.3194,0.3196,0.5383,0.5173,0.5962,0.3201,0.3227,0.326,0.6209,0.629,0.6327,0.278,0.2802,0.2808
CNN,sequence10s,0.5174,0.5188,0.5453,0.3194,0.3194,0.3198,0.5101,0.5186,0.6575,0.3389,0.3333,0.4971,0.593,0.6126,0.7272,0.317,0.3202,0.3765
GRUAttNet,windows2.5s,0.9352,0.9377,0.9526,0.5266,0.5367,0.5588,0.8661,0.8836,0.9098,0.4768,0.4891,0.4942,0.8587,0.871,0.9007,0.6156,0.634,0.6896
GRUAttNet,sequence10s,0.9522,0.9545,0.9664,0.6153,0.6343,0.6458,0.8654,0.8656,0.9079,0.5506,0.5876,0.5958,0.8961,0.904,0.9199,0.7601,0.7529,0.7713
ResNet,windows2.5s,0.9178,0.9168,0.946,0.5423,0.5488,0.6346,0.8008,0.8013,0.8922,0.493,0.5069,0.6039,0.8049,0.8221,0.8933,0.579,0.5838,0.6909
ResNet,sequence10s,0.9051,0.9074,0.9519,0.585,0.6031,0.7319,0.8301,0.8403,0.9129,0.4818,0.542,0.6057,0.8401,0.855,0.9146,0.64,0.6392,0.7456
RTA-CNN,windows2.5s,0.863,0.8661,0.8773,0.4942,0.487,0.5342,0.5188,0.5267,0.5251,0.3199,0.32,0.32,0.8683,0.8722,0.9483,0.5859,0.6123,0.8066
RTA-CNN,sequence10s,0.4929,0.4947,0.4948,0.3194,0.3194,0.3194,0.5429,0.5389,0.5437,0.3203,0.3199,0.32,0.8513,0.8552,0.9268,0.6682,0.666,0.8
